lambda,em,pigment
616.9315447,39.75993117,Phycocyanin
617.8673757,42.03270372,Phycocyanin
618.6698529,44.52572188,Phycocyanin
619.6057304,46.87385673,Phycocyanin
620.2743332,48.74364245,Phycocyanin
621.076712,51.07724037,Phycocyanin
621.8792606,53.68620054,Phycocyanin
622.6818093,56.29516071,Phycocyanin
623.5510045,58.74472272,Phycocyanin
624.1529429,60.7449211,Phycocyanin
624.7148182,62.71901927,Phycocyanin
625.2235175,65.04962143,Phycocyanin
625.8032612,67.13676894,Phycocyanin
626.427573,69.33987319,Phycocyanin
626.8292587,71.31101979,Phycocyanin
627.6050021,73.74605812,Phycocyanin
628.1671349,76.1375475,Phycocyanin
629.102771,78.09437809,Phycocyanin
629.5044209,80.00755369,Phycocyanin
630.039668,82.09468648,Phycocyanin
630.7084764,84.29780546,Phycocyanin
631.1101084,86.18199556,Phycocyanin
631.8856802,88.33877308,Phycocyanin
632.7150717,91.18252464,Phycocyanin
633.6511549,93.86399275,Phycocyanin
634.453489,96.12512691,Phycocyanin
635.5227741,98.33997264,Phycocyanin
636.9923893,100.328864,Phycocyanin
638.5956445,102.5612778,Phycocyanin
640.1983811,103.9531121,Phycocyanin
641.8010819,105.2869753,Phycocyanin
643.4226841,106.347553,Phycocyanin
645.0052495,105.9547023,Phycocyanin
646.6065196,104.9697255,Phycocyanin
648.2077003,103.8398212,Phycocyanin
649.8088809,102.7099169,Phycocyanin
651.4098469,101.2321866,Phycocyanin
652.7437796,99.66741137,Phycocyanin
653.6770997,97.87061962,Phycocyanin
654.6101962,95.71150912,Phycocyanin
655.5429887,93.05964511,Phycocyanin
656.3426401,90.97295417,Phycocyanin
657.4088777,88.24867059,Phycocyanin
658.3419027,85.97361809,Phycocyanin
659.4085069,83.84353727,Phycocyanin
660.6087137,81.89610929,Phycocyanin
661.8087756,79.71389876,Phycocyanin
663.0089126,77.65342733,Phycocyanin
664.0755008,75.49725956,Phycocyanin
664.8750806,73.29462662,Phycocyanin
665.6746962,71.14996468,Phycocyanin
666.4742761,68.94733175,Phycocyanin
667.4074352,66.8896705,Phycocyanin
668.473959,64.62915493,Phycocyanin
669.5405096,62.41211761,Phycocyanin
670.7405285,60.16034187,Phycocyanin
671.9406173,58.02160959,Phycocyanin
673.1408133,56.05679031,Phycocyanin
674.3408323,53.80501458,Phycocyanin
675.5411839,52.09236916,Phycocyanin
676.8746015,49.69281155,Phycocyanin
678.3416914,47.58895024,Phycocyanin
679.9426932,46.16919093,Phycocyanin
681.5438917,45.06827213,Phycocyanin
683.1446968,43.32967231,Phycocyanin
684.4782539,41.15620162,Phycocyanin
685.6783856,39.08703454,Phycocyanin
687.1457258,37.38897024,Phycocyanin
688.7467276,35.96921093,Phycocyanin
690.3482481,35.39003114,Phycocyanin
691.9503051,35.68041637,Phycocyanin
693.5522726,35.82587409,Phycocyanin
695.1539362,35.47857831,Phycocyanin
696.7551347,34.3776595,Phycocyanin
698.3564584,33.47963921,Phycocyanin
699.9580683,33.04538692,Phycocyanin
701.5601431,33.36475765,Phycocyanin
703.1618067,33.01746186,Phycocyanin
704.7625402,31.16292004,Phycocyanin
706.2296408,29.07645003,Phycocyanin
707.6968845,27.22186403,Phycocyanin
709.2981903,26.29485823,Phycocyanin
710.899836,25.91857694,Phycocyanin
712.501428,25.45533916,Phycocyanin
714.1027517,24.55731886,Phycocyanin
715.7037535,23.13755955,Phycocyanin
717.3048805,21.92069874,Phycocyanin
718.9062757,21.13862045,Phycocyanin
720.5076531,20.32755665,Phycocyanin
722.1089947,19.45852185,Phycocyanin
723.7102111,18.38658855,Phycocyanin
725.3113023,17.11175675,Phycocyanin
726.9125545,16.09779445,Phycocyanin
728.5138246,15.11281765,Phycocyanin
730.1152914,14.44668135,Phycocyanin
731.7168834,13.98344357,Phycocyanin
733.3184038,13.40426377,Phycocyanin
734.9195845,12.27435947,Phycocyanin
736.5207293,11.08648417,Phycocyanin
